52,50,52,54,50,52,52,50,53,53,50,52,51,52,52,51,51,51,54,50,52,51,51,53,53,50,51,52,52,53,51,50,52,54,50,52,51,53,54,49,52,51,52,53,52,51,50,52,53,50,52,52,50,54,51,51,52,51,52,52,51,50,36,52,52,51,52,51,54,51,50,52,51,53,51,52,50,53,53,52,50,52,50,54,52,50,52,49,54,51,52,51,52,53,50,53,51,52,53,52,50,53,51,54,50,52,50,52,53,50,52,52,50,53,52,50,53,51,52,53,51,50,51,55,50,52,52,50,54,51,50,52,52,52
51,52,52,52,51,50,53,53,50,51,52,50,54,52,50,52,51,52,52,52,50,52,53,50,52,52,52,55,51,50,52,51,52,52,52,50,52,53,50,51,53,50,49,53,50,52,51,54,50,39,50,52,53,50,53,51,50,53,52,51,52,51,52,52,51,51,51,54,50,52,51,52,51,53,50,52,51,52,52,52,50,51,54,50,53,51,52,55,47,50,51,53,52,52,51,53,49,54,50,52,51,50,55,51,50,51,53,52,52,51,50,51,54,51,51,52,50,55,51,52,49,52,52,53,51,50,52,53,50,52,52,50,54,52
52,50,52,52,54,43,51,50,53,53,50,52,29,53,52,51,51,52,51,52,52,51,52,50,54,50,52,52,50,27,51,50,52,51,38,53,51,52,49,50,50,52,51,50,54,51,52,50,52,52,52,51,53,50,55,50,52,51,51,47,51,52,50,52,52,52,52,50,52,53,40,51,53,42,54,52,52,50,51,52,53,51,50,53,53,52,50,51,50,55,51,50,52,52,52,51,52,50,53,53,52,50,51,51,54,52,50,52,52,53,50,52,50,53,55,50,52,52,50,53,52,50,52,51,55,49,52,51,52,51,48,52,7,29
41,52,52,51,51,47,53,45,50,53,50,55,51,50,52,51,54,34,48,44,52,53,48,49,52,51,54,51,50,52,51,52,48,52,50,52,53,46,52,51,50,54,52,50,52,51,53,46,53,50,52,53,50,53,51,50,54,52,50,52,52,52,52,52,50,51,54,50,53,51,50,53,53,50,52,51,55,52,51,51,51,54,50,52,46,52,54,51,35,51,53,52,52,51,51,50,55,50,50,33,50,54,52,50,51,52,52,53,51,50,53,53,50,51,52,50,55,44,50,51,19,53,52,51,50,53,53,50,51,52,50,54,52,50
53,49,53,53,52,50,51,51,53,52,50,52,51,54,51,52,49,52,53,50,53,51,52,52,51,50,53,51,54,50,51,53,52,53,50,52,52,52,52,52,49,53,51,52,52,51,52,51,53,50,52,51,52,53,51,51,51,51,53,52,51,52,50,55,50,51,51,51,54,51,52,50,52,52,52,51,53,50,53,51,51,52,50,54,52,52,50,52,51,52,52,50,54,53,52,49,53,50,54,51,52,51,51,54,50,51,50,53,53,52,50,52,49,55,51,50,52,51,55,50,51,51,52,53,52,50,52,52,52,51,50,53,51,54
52,51,57,50,51,52,50,50,50,52,51,52,52,52,52,50,51,54,50,51,52,51,54,49,52,51,53,52,51,52,50,52,52,52,51,52,50,45,52,50,51,52,52,51,52,51,52,51,53,51,52,50,53,52,50,53,49,54,51,52,51,52,55,51,51,52,50,53,52,50,53,49,54,51,52,50,51,54,51,51,51,52,53,52,50,53,51,52,51,52,50,52,54,50,52,51,51,53,52,50,51,53,52,52,49,52,51,54,51,52,51,50,54,52,50,51,52,52,52,52,50,52,56,50,51,52,50,54,50,52,51,52,52,52
54,51,51,52,50,54,51,51,52,51,52,51,52,50,53,53,50,51,52,51,54,51,50,53,51,52,51,52,50,53,53,50,51,52,50,56,52,50,52,51,52,51,53,50,52,54,50,52,51,50,53,52,51,52,51,52,52,52,51,51,54,50,52,45,50,54,48,50,53,51,52,52,51,51,51,54,50,52,51,51,49,52,51,51,52,53,52,51,50,51,54,51,52,51,50,57,51,50,51,53,52,52,51,50,52,54,50,51,52,50,55,49,53,50,52,52,53,51,50,52,54,50,52,52,50,54,51,50,51,53,52,51,53,50
50,53,51,54,50,52,51,51,55,52,50,52,52,52,52,50,52,51,54,50,52,51,51,53,50,53,51,52,52,53,49,52,51,54,50,51,53,50,54,49,52,52,52,52,52,51,51,51,52,53,51,52,51,54,50,51,51,53,52,51,52,51,52,51,52,52,52,50,57,51,50,51,50,54,51,53,50,52,51,53,51,52,50,54,52,50,52,50,54,51,52,50,52,53,51,52,50,52,53,53,50,52,51,52,51,53,50,51,54,50,52,51,51,53,52,51,52,51,52,52,50,52,51,54,44,52,52,50,55,52,50,51,53,52
53,50,52,53,53,50,51,50,54,52,50,52,51,54,50,51,51,52,53,50,52,52,50,53,52,50,52,51,55,50,51,51,51,56,50,52,51,53,52,51,51,52,51,52,52,52,50,51,54,50,52,51,53,52,51,50,52,52,48,52,51,53,49,54,50,52,52,50,50,31,38,49,52,48,52,51,53,50,53,50,52,52,50,54,51,52,51,51,52,52,51,51,52,55,50,51,52,51,54,51,52,51,51,52,52,52,50,52,54,52,49,52,50,54,51,51,52,51,54,50,52,50,52,54,52,41,60,51,54,51,51,52,51,53
52,52,53,51,50,53,53,51,50,52,50,55,51,52,50,51,53,52,51,50,52,53,52,50,52,50,54,52,50,41,51,52,51,53,50,52,54,52,50,51,24,54,51,50,52,51,53,51,52,50,52,54,50,52,51,50,56,52,32,52,51,54,51,51,50,52,53,51,52,51,51,52,53,50,52,51,52,52,52,50,52,54,50,52,52,52,47,52,50,53,51,52,52,52,52,50,53,51,52,51,50,54,51,51,51,52,52,53,51,52,50,54,50,52,52,50,56,51,52,50,52,52,53,51,50,52,53,51,51,52,50,51,53,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
