0;0;0;722;43;;159;3;;;;;;;;;;;;;;15;3;3;;;;;;;;;;;;;;;;;;;;;3;5424;3;;;;;;;;;;;3;0;;15;15;3;15;15;;3;;;;;;;;;;;;;;;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;63;;;0;;;15;15;15
0;0;75;3;;;;;;;;;;;;;;;;;;4776;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5472;;3;;;;;;;3;;;;;;;;;;;;;;;3;;15;;2704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;2704;48;15;15;;;;432;15;;;;;
0;;1;;;;;;;;;;;;;;;;48;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;592;112;208;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;48;1;48;;3;;1;;;;0;;;;;;;
;1;;;3;;3;3;;;;;;;;;;;3;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;0;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;3;;
0;477;23;3;54;63;;;;;;;;;;;;;;;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;388;43;3;3;;;;;;;;;;;;;;;;;;;;;;3;;3;5904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;15;3;;3;3;3;;3;15;432;;;;;;381;20
0;0;722;47;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;18;;;;;;3
0;;159;3;;;;;;;;;;;;;;;;;1112;20;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;;;3;;;;;;;;;;;;;;;;3;;0;;;;;;;;;;;;;;;;;3;;15;3;15;3;;;15;15;5904;3;3;15;15;;3;;;15;15;3;4776;;0;15;;15;15;15;15;15
0;0;13;40;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;43;0;;;;;;;;;;;;;;3;48;;3;3;;;;3;;;;;;;;;;;;;;368;;;;0;;;;;;;;;;;;;;;;;;48;1;;3;;;1;1;;5488;;;;;;;3;3;;;;;;;;;;3;;3
0;0;726;15;3;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;5904;;;3;;;;;;;;;;;;;15;4776;;;;3;;;3;;;;;;;;;;;;;;;;;0;2704;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;;;;;;;;;;;;;;;;;;;3;15
0;0;728;1;48;1;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;1;3;;;;;;;3;3;;0;3;;3;;;;1;1;;;;;;;;;;;;
0;723;;1;;;;;;;;;;;;;;;;3;;64;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;1;;;;;3;;;3;3;1;1;3;;;;;;;;;;;;;;1;1;;;3;;;;;;;;;;;;;;;;1;;1;1;1;;;;;;;;;1;1;;;;;3;112;;;;;;;;;3;;
0;0;734;1;;;;;;;;;;;;;;;;48;1;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;48;1;;;3;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;
0;605;674;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;3;;;;;;;;;;0;;3;1;3;1;3;
