43;43;41;42;44;42;43;42;44;43;43;43;42;42;44;42;44;42;42;43;43;42;44;43;42;43;43;41;45;41;43;42;43;40;44;43;43;43;41;42;43;43;41;41;42;42;43;43;42;39;43;42;47;42;46;41;42;43;40;42;42;40;42;40;42;44;47;42;42;42;41;43;42;42;43;41;41;45;40;42;40;40;42;42;44;42;41;36;42;42;42;45;42;43;42;45;42;41;42;43;40;41;45;42;43;42;41;43;46;38;42;43;42;42;44;39;42;43;43;43;43;42;42;42;42;42;42;42;43;41;40;43;43;33;;;;;;;;
42;43;42;42;43;44;42;42;41;42;43;44;43;42;42;42;43;44;43;41;42;43;43;44;43;43;42;42;41;45;48;42;42;48;41;45;41;43;48;41;45;41;43;43;43;42;43;44;43;42;42;46;40;45;43;42;42;48;43;45;43;42;42;43;42;44;43;42;42;42;43;44;43;42;44;42;43;45;42;42;43;43;43;44;42;42;42;42;43;44;42;43;42;43;42;44;46;42;43;42;43;44;42;43;42;42;42;45;42;42;42;43;41;44;43;42;42;42;41;42;43;42;47;42;42;41;42;43;26;17;1;3;0;15;;;;;;;;
43;43;42;42;44;44;42;43;43;49;42;46;48;42;49;49;40;41;42;42;44;44;40;43;42;43;42;44;42;42;43;43;42;44;41;41;43;43;41;44;43;40;42;40;42;44;42;42;42;42;43;41;43;43;42;42;43;40;44;43;40;42;43;43;42;42;41;41;42;41;48;41;43;42;42;43;45;41;41;45;42;42;44;41;43;47;40;42;45;42;42;41;43;43;45;39;43;42;41;43;44;42;41;42;43;42;43;43;39;43;42;42;41;44;43;42;42;42;38;45;41;43;43;42;41;44;38;43;41;43;42;41;41;15;;;;;;;;
43;42;43;42;44;42;43;43;42;42;45;42;42;42;49;42;45;41;43;43;43;42;44;39;43;42;42;43;45;42;42;40;47;41;44;43;43;42;40;43;44;41;40;42;42;42;49;42;44;41;43;42;45;43;39;43;43;41;44;43;42;40;42;42;46;43;42;44;42;43;44;42;47;41;42;42;44;39;43;41;43;42;44;42;43;42;42;43;45;42;43;43;40;43;42;50;42;42;46;40;45;41;43;42;43;42;42;42;42;43;41;43;41;44;41;42;43;43;42;44;43;40;43;41;44;41;45;41;44;41;40;41;40;42;;;;;;;;
46;42;43;43;43;42;45;43;41;43;44;42;44;41;44;43;42;42;45;42;43;42;42;42;45;41;43;42;43;42;45;42;39;42;48;42;44;41;43;42;41;43;44;43;42;46;40;43;45;43;42;41;41;43;43;43;43;41;42;43;45;41;42;43;44;41;45;42;43;41;42;44;43;44;41;41;42;41;42;44;43;43;42;41;44;43;43;46;42;41;41;45;43;42;42;42;44;43;42;41;43;41;43;44;42;43;41;41;43;43;45;41;43;45;40;43;23;19;1;3;0;0;0;0;0;0;0;0;0;2;25;42;42;24;;;;;;;;
43;43;43;47;44;43;42;42;43;42;42;45;42;42;43;43;41;45;42;48;43;48;43;44;41;44;42;42;43;45;41;44;42;43;42;44;43;42;43;43;43;43;43;43;42;43;43;43;42;43;42;43;42;46;43;42;43;42;43;44;43;42;42;42;43;44;43;43;41;44;42;44;42;42;43;43;47;45;42;44;42;41;43;44;43;42;43;43;41;43;44;42;43;42;43;41;45;43;42;42;43;42;43;42;43;41;42;41;46;41;42;42;41;42;44;43;42;42;43;43;42;43;42;24;1;1;0;0;0;0;0;0;0;0;;;;24;;;;
43;42;43;42;44;42;43;43;42;42;45;42;42;42;49;42;45;41;43;43;43;42;44;39;43;42;42;43;45;42;42;40;47;41;44;43;43;42;40;43;44;41;40;42;42;42;49;42;44;41;43;42;45;43;39;43;43;41;44;43;42;40;42;42;46;43;42;44;42;43;44;42;47;41;42;42;44;39;43;41;43;42;44;42;43;42;42;43;45;42;43;43;40;43;42;50;42;42;46;40;45;41;43;42;43;42;42;42;42;43;41;43;41;44;41;42;43;43;42;44;43;40;43;41;44;41;45;41;44;41;40;40;43;41;;;;;;;;
43;42;42;42;44;42;42;44;41;42;43;41;43;42;42;43;39;46;42;42;42;42;43;44;42;42;47;42;43;49;44;42;42;49;42;44;43;42;41;42;42;44;43;43;45;43;46;43;41;42;41;41;50;40;40;43;43;42;44;48;48;40;45;41;49;43;42;45;42;47;42;42;42;43;43;43;43;43;48;41;46;43;42;40;42;42;42;45;43;43;42;42;43;43;43;43;41;44;42;39;43;40;43;43;41;42;44;39;43;42;42;43;49;42;42;43;42;42;44;39;43;40;41;42;44;43;43;40;42;42;44;46;34;38;;;;;;;;
17;36;44;42;42;42;45;47;42;43;43;42;46;41;43;43;43;39;43;44;43;42;40;42;43;44;42;44;48;46;45;42;39;42;43;43;44;42;42;42;40;42;42;44;42;42;38;42;42;44;42;43;42;44;42;44;42;41;42;43;42;45;43;41;43;40;42;44;44;41;43;42;43;46;42;43;42;43;42;41;43;42;43;42;43;44;43;42;43;41;43;46;42;42;42;42;43;45;42;43;42;43;41;44;42;44;43;43;43;42;43;43;42;44;43;45;40;42;43;43;43;42;48;42;41;41;44;42;43;43;42;43;23;39;;;;;;;;
43;42;43;45;43;43;44;42;44;44;43;43;42;43;42;44;43;43;42;42;43;44;42;42;44;42;43;44;42;42;42;43;43;44;43;43;42;42;43;45;43;41;43;43;43;43;43;42;43;42;43;45;45;42;42;43;42;44;43;42;42;43;42;44;43;39;42;42;42;45;44;43;41;42;42;43;44;42;42;41;43;43;41;42;47;42;43;42;44;45;42;48;43;64;46;42;41;45;42;42;42;42;42;43;42;42;43;39;42;45;42;42;43;42;42;47;42;43;45;42;42;45;39;42;42;43;42;44;40;42;43;49;44;44;;;;40;42;45;41;37
